Start Time,Average of Latency(ms)
1717638231835,22
1717638231836,24.71428571
1717638231840,27.5
1717638231841,21.5
1717638231844,93
1717638231847,98
1717638231848,97
1717638231850,95
1717638231857,79.875
1717638231859,77
1717638231860,76
1717638231862,75
1717638231866,71.125
1717638231869,76
1717638231935,42
1717638231936,46.27272727
1717638231937,58.5
1717638231945,52.5
1717638231976,21.33333333
1717638231977,22
1717638231978,19.5
1717638231979,21.42857143
1717638231984,27.66666667
1717638231987,35
1717638231992,30
1717638231993,29
1717638231996,24.5
1717638231997,35.83333333
1717638231998,40
1717638231999,37
1717638232000,33
1717638232001,37.8
1717638232007,32
1717638232013,37
1717638232015,35
1717638232017,33
1717638232022,38.6
1717638232024,54
1717638232026,27
1717638232027,33
1717638232029,33
1717638232038,40.875
1717638232039,40
1717638232050,29.75
1717638232053,27
1717638232060,30
1717638232061,29.5
1717638232062,28
1717638232078,42.5
1717638232079,42.23529412
1717638232080,41
1717638232090,59.25
1717638232091,58
1717638232120,28.75
1717638232121,28.58333333
1717638232122,28
1717638232148,25
1717638232149,33.54545455
1717638232150,30.44444444
1717638232173,35.14285714
1717638232174,34.4
1717638232184,40.5
1717638232185,39.71428571
1717638232208,33.44444444
1717638232209,32.66666667
1717638232224,28.42857143
1717638232225,30.15384615
1717638232241,30.16666667
1717638232242,29.66666667
1717638232250,21.66666667
1717638232251,21.25
1717638232258,36.3
1717638232271,20.33333333
1717638232272,21.25
1717638232273,22
1717638232290,22
1717638232291,21
1717638232294,29.44444444
1717638232295,31
1717638232312,28.11111111
1717638232313,23
1717638232321,38.66666667
1717638232322,45
1717638232325,35.6
1717638232326,41.71428571
1717638232336,34
1717638232337,33.5
1717638232344,28
1717638232345,30.8
1717638232346,36
1717638232367,32.61538462
1717638232368,31.625
1717638232372,27
1717638232373,27
1717638232381,18.5
1717638232382,45
1717638232398,28.5
1717638232399,25.2
1717638232400,27.55555556
1717638232417,28
1717638232421,24.25
1717638232426,29.44444444
1717638232427,29
1717638232428,28.25
1717638232437,28
1717638232445,20.6
1717638232446,18
1717638232455,21.4
1717638232456,22.64705882
1717638232457,22
1717638232464,24
1717638232465,20
1717638232467,37.33333333
1717638232476,27.33333333
1717638232477,27
1717638232478,27
1717638232479,29.28571429
1717638232485,21.5
1717638232488,61.25
1717638232503,39
1717638232504,40.28571429
1717638232505,41.5
1717638232508,35.5
1717638232509,34
1717638232542,20
1717638232543,30.75
1717638232544,36
1717638232549,31.5
1717638232550,31
1717638232562,32.55555556
1717638232563,33
1717638232565,36
1717638232580,35.92857143
1717638232581,35.8
1717638232591,28.5
1717638232595,70.66666667
1717638232596,87.66666667
1717638232601,82.5
1717638232616,68.35714286
1717638232617,67.83333333
1717638232622,62
1717638232631,148
1717638232683,96.75
1717638232684,96.23529412
1717638232685,95.9
1717638232779,42.5
1717638232780,45.76923077
1717638232781,47.53333333
1717638232821,26.5
1717638232822,28.75
1717638232823,29
1717638232825,27
1717638232826,25
1717638232827,25.66666667
1717638232828,24.85714286
1717638232829,26.2
1717638232847,27
1717638232848,26.5
1717638232852,29.92857143
1717638232853,32.83333333
1717638232856,40
1717638232857,39.5
1717638232874,33
1717638232875,30.5
1717638232883,24
1717638232884,23.75
1717638232886,29
1717638232887,28
1717638232896,26.57142857
1717638232897,26
1717638232901,29
1717638232907,27.9
1717638232908,27.33333333
1717638232915,34
1717638232922,36
1717638232923,35
1717638232930,27
1717638232933,24
1717638232934,23
1717638232935,22.75
1717638232936,21.2
1717638232949,30
1717638232957,21.9
1717638232958,24.41666667
1717638232975,21
1717638232979,27
1717638232980,27
1717638232981,27
1717638232982,29
1717638232984,31
1717638232996,34
1717638232997,33
1717638233002,40
1717638233007,27
1717638233009,33
1717638233011,31
1717638233021,24
1717638233029,19
1717638233030,27.66666667
1717638233031,30
1717638233042,26.4
1717638233048,38
1717638233049,38
1717638233059,28
1717638233060,27
1717638233061,26
1717638233062,25
1717638233064,23
1717638233068,37.33333333
1717638233069,45
1717638233070,45
1717638233086,29.66666667
1717638233087,29
1717638233101,20
1717638233102,31
1717638233114,33
1717638233115,31.90909091
1717638233116,30.8
1717638233119,29
1717638233123,37
1717638233133,27
1717638233146,29.5
1717638233147,31
1717638233148,31
1717638233160,20.5
1717638233175,22
1717638233176,21
1717638233177,36
1717638233178,42.5
1717638233179,42.9375
1717638233182,45
1717638233197,31.90909091
1717638233213,23
1717638233215,26.25
1717638233219,33
1717638233220,32
1717638233226,38
1717638233227,49
1717638233228,55
1717638233229,52.8
1717638233236,46.5
1717638233241,42
1717638233242,41.5
1717638233250,33
1717638233253,30
1717638233264,22
1717638233280,25
1717638233282,23.57142857
1717638233283,24.41666667
1717638233284,26.4
1717638233285,25
1717638233287,28
1717638233305,21.5
1717638233306,23.72727273
1717638233307,23
1717638233310,23.3
1717638233311,31
1717638233315,27
1717638233324,27
1717638233329,22.66666667
1717638233330,21.77777778
1717638233332,34.2
1717638233333,38.5
1717638233342,60
1717638233351,52.42857143
1717638233352,54.63636364
1717638233359,48
1717638233368,39
1717638233375,32.5
1717638233398,19
1717638233402,40
1717638233406,34.33333333
1717638233407,34.26666667
1717638233408,34
1717638233417,23.5
1717638233440,26.125
1717638233441,28.23076923
1717638233442,28
1717638233462,33
1717638233463,32
1717638233468,27
1717638233469,26.58333333
1717638233470,26
1717638233495,75.45454545
1717638233496,75.42857143
1717638233570,25
1717638233571,25.47058824
1717638233572,25.11111111
1717638233594,20
1717638233595,20
1717638233596,21.08333333
1717638233597,21.5625
1717638233598,21
1717638233614,21
1717638233615,20
1717638233616,19
1717638233617,26.5
1717638233618,31.84615385
1717638233619,32.6
1717638233635,40
1717638233638,37
1717638233649,26.4
1717638233650,26
1717638233652,26.22222222
1717638233675,24.45454545
1717638233676,29.42857143
1717638233677,29
1717638233679,27
1717638233680,26
1717638233698,40.9
1717638233706,34.18181818
1717638233738,25
1717638233739,23
1717638233740,25.375
1717638233741,25.8
1717638233760,22
1717638233761,21.33333333
1717638233762,21
1717638233763,22
1717638233766,25.66666667
1717638233767,36
1717638233782,22.8
1717638233783,22
1717638233787,28
1717638233790,28
1717638233792,27.66666667
1717638233793,27
1717638233801,22
1717638233803,20.5
1717638233804,28.33333333
1717638233805,26.09090909
1717638233815,25
1717638233816,26
1717638233819,29
1717638233820,28
1717638233823,25.66666667
1717638233824,26
1717638233830,21.33333333
1717638233831,25.4
1717638233832,26.5
1717638233833,28
1717638233834,27
1717638233838,32
1717638233842,28
1717638233848,28.63636364
1717638233850,29
1717638233852,26
1717638233854,26
1717638233858,23
1717638233859,23
1717638233860,22
1717638233861,21
1717638233870,32.2
1717638233878,24.5
1717638233879,24
1717638233881,28
1717638233882,35.4
1717638233902,25.77777778
1717638233903,25.75
1717638233912,25
1717638233917,24.33333333
1717638233918,24
1717638233925,26
1717638233930,28.85714286
1717638233937,27.83333333
1717638233940,28
1717638233942,43.25
1717638233947,44
1717638233954,37
1717638233957,34
1717638233959,32.30769231
1717638233964,29
1717638233965,28
1717638233968,27
1717638233991,24.2
1717638233992,26.75
1717638233993,30.5
1717638233995,30.5
1717638234015,26.11764706
1717638234016,26.8
1717638234020,33.33333333
1717638234025,28.16666667
1717638234026,27
1717638234038,27.6
1717638234042,25.25
1717638234043,25
1717638234053,28.625
1717638234054,29
1717638234065,30.33333333
1717638234068,32
1717638234072,28
1717638234083,32.66666667
1717638234086,35
1717638234100,37.04761905
1717638234112,26
1717638234113,25
1717638234118,26
1717638234121,22
1717638234136,26
1717638234137,25.22222222
1717638234138,24.33333333
1717638234143,30.5
1717638234144,36
1717638234162,26.73684211
1717638234163,27
1717638234167,19
1717638234180,28
1717638234184,24
1717638234186,22
1717638234190,24.8
1717638234208,21.91666667
1717638234214,20.25
1717638234215,29.8125
1717638234229,28
1717638234230,30
1717638234231,30.5
1717638234232,29.5
1717638234234,29
1717638234235,29
1717638234246,27.28571429
1717638234247,26.66666667
1717638234250,34.4
1717638234259,20
1717638234260,21.625
1717638234263,25
1717638234264,24
1717638234273,23.16666667
1717638234274,25
1717638234279,45.66666667
1717638234280,37
1717638234288,34.07692308
1717638234295,33
1717638234298,50
1717638234299,48.33333333
1717638234300,48
1717638234317,28.625
1717638234318,37.5
1717638234319,29.875
1717638234328,31
1717638234343,24
1717638234347,24.77777778
1717638234348,22.27272727
1717638234352,22.5
1717638234359,24
1717638234363,34
1717638234367,29.11111111
1717638234370,29.7
1717638234371,32
1717638234372,31
1717638234377,27
1717638234381,36
1717638234389,32
1717638234391,28
1717638234394,38
1717638234397,35
1717638234398,34.81818182
1717638234402,31.33333333
1717638234403,31.33333333
1717638234404,32
1717638234412,21
1717638234419,30
1717638234421,28
1717638234423,27
1717638234432,32.83333333
1717638234433,32.46153846
1717638234434,26
1717638234436,38
1717638234449,27
1717638234450,29
1717638234456,20
1717638234457,19.5
1717638234459,26.42857143
1717638234460,45
1717638234467,38
1717638234476,30.66666667
1717638234477,30
1717638234478,32.5
1717638234479,35
1717638234482,32
1717638234486,33.66666667
1717638234505,46.58333333
1717638234506,48.33333333
1717638234507,58.5
1717638234514,43.8
1717638234519,36
1717638234521,34
1717638234522,33
1717638234535,27
1717638234554,28
1717638234555,28.05882353
1717638234562,34.625
1717638234582,24
1717638234583,23.4375
1717638234584,23
1717638234596,38.33333333
1717638234597,39
1717638234606,29.4
1717638234607,31.125
1717638234621,19
1717638234623,18
1717638234628,34.33333333
1717638234630,32
1717638234635,30.82352941
1717638234640,31.66666667
1717638234642,21
1717638234662,38.52941176
1717638234663,38.25
1717638234667,34.5
1717638234668,34
1717638234674,38.4
1717638234679,22
1717638234700,45.5
1717638234701,38.57142857
1717638234702,38
1717638234706,39
1717638234714,46
1717638234733,60.375
1717638234734,30.125
1717638234738,41.6
1717638234739,25
1717638234741,43
1717638234745,48.5
1717638234750,22.66666667
1717638234752,28
1717638234757,76.5
1717638234762,49.375
1717638234764,33.33333333
1717638234767,88
1717638234778,80
1717638234779,78
1717638234780,83.66666667
1717638234784,78.4
1717638234803,59.7
1717638234804,65.5
1717638234855,36.625
1717638234856,25
1717638234857,24
1717638234858,23.6
1717638234860,19
1717638234861,20
1717638234862,23.5
1717638234864,37.85714286
1717638234866,57
1717638234870,53
1717638234878,26
1717638234879,55.6
1717638234880,43
1717638234881,42
1717638234885,38
1717638234890,41.5
1717638234903,48
1717638234904,44.5
1717638234905,51
1717638234911,22
1717638234923,34.13333333
1717638234925,39
1717638234926,38
1717638234933,21
1717638234934,30
1717638234940,24
1717638234941,27
1717638234945,37
1717638234947,35
1717638234948,34
1717638234949,35
1717638234950,32
1717638234954,34.375
1717638234956,43.33333333
1717638234958,39.5
1717638234964,40.16666667
1717638234968,51
1717638234982,30.55555556
1717638234983,32
1717638234984,31
1717638234986,32
1717638234987,39
1717638234995,38
1717638234997,37
1717638234998,34
1717638235005,28.33333333
1717638235015,28.63636364
1717638235019,57.6
1717638235024,60
1717638235025,59
1717638235026,58
1717638235031,53
1717638235032,52
1717638235033,51
1717638235036,48.2
1717638235041,52
1717638235043,42
1717638235044,41
1717638235047,37
1717638235049,36
1717638235084,29.84
1717638235085,36.16666667
1717638235107,34
1717638235108,35.3
1717638235111,38.6
1717638235118,35.83333333
1717638235127,31.66666667
1717638235132,31
1717638235133,42
1717638235141,39.55555556
1717638235146,29
1717638235147,31.5
1717638235148,28
1717638235150,31
1717638235159,32.2
1717638235160,32
1717638235163,35
1717638235164,50
1717638235165,38.5
1717638235166,49
1717638235175,31.9
